GEOID,max_predicted_time,mean_predicted_time,travel_speed,cons_time_100,cons_circuity_100,circuity,lat,lon,distance_to_fixed_point,stops_within_mbg,n_stops,med_inc,pct_white,pop
510131020012,23.93827160493827,15.266666666666666,9.178603109887856,0.3528555980908819,0.2518294642350629,0.42969526999862345,38.9482074601596,-77.06113109595523,5.12337330679415,"['55884', '58718', '59019', '60523', '63074']",5,,,
510131020031,25.506172839506178,23.333333333333336,6.363316390658532,0.1522546485035299,0.1321428949878904,0.48156438975998517,38.9482074601596,-77.06113109595523,5.12337330679415,"['55366', '56130', '56792', '57562', '58904', '61127', '62781', '62966', '63155', '64051']",10,,,
510131020032,22.493827160493822,19.598765432098762,7.3881000410406905,0.25837310662556756,0.20775023540770632,0.46095312288069895,38.9482074601596,-77.06113109595523,5.12337330679415,"['56775', '57100', '57352', '61125', '61429', '64086']",6,,,
510131020033,26.51851851851852,25.430335097001766,6.261302815346597,0.10418116734612703,0.13283564778501325,0.48920794246919047,38.9482074601596,-77.06113109595523,5.12337330679415,"['57308', '60532', '61199', '61935', '62774', '62783', '63379']",7,,,
510131021001,26.506172839506178,25.83950617283951,7.465026009411813,0.2199597709721255,0.25073105472202223,0.47562840195561673,38.9482074601596,-77.06113109595523,5.12337330679415,"['56753', '56877', '61459']",3,,,
510131021002,35.53086419753086,29.35679012345679,6.451155649719956,0.10398540817341154,0.22376087985046694,0.48075453199630713,38.9482074601596,-77.06113109595523,5.12337330679415,"['56642', '56751', '58266', '60269', '60689', '60768', '60937', '62079', '62200', '62663']",10,,,
510131022001,27.506172839506178,27.506172839506178,7.3605700179533216,0.1662678979815053,0.18783704073809634,0.4993196384945748,38.9482074601596,-77.06113109595523,5.12337330679415,"['58267', '61307', '63729']",3,,,
510131022002,29.61728395061728,28.317901234567902,7.5101557937542625,0.11490286616287154,0.09392509855790152,0.5366497617001775,38.9482074601596,-77.06113109595523,5.12337330679415,"['58016', '61772', '63923', '64272']",4,,,
510131022004,46.358024691358025,46.02469135802469,4.807554986879363,0.3320748815087336,0.0457662531440439,0.5803367929822474,38.9482074601596,-77.06113109595523,5.12337330679415,"['58148', '63517', '64273']",3,,,
510131022005,39.54320987654321,36.4641975308642,6.082345715067513,0.11050387789599267,0.04737704810631694,0.5820838191331497,38.9482074601596,-77.06113109595523,5.12337330679415,"['61382', '63503', '64181', '64418', '64591']",5,,,
510131023011,27.975308641975307,26.51358024691358,6.311009125244686,0.08572573829173709,0.09938004221626902,0.5084870702224025,38.9482074601596,-77.06113109595523,5.12337330679415,"['56570', '59962', '61198', '63393', '63394']",5,,,
510131023012,27.024691358024693,25.33882030178326,6.503835842926703,0.14406425043916343,0.07500036273629096,0.5339388016221864,38.9482074601596,-77.06113109595523,5.12337330679415,"['56231', '56863', '59086', '59324', '60112', '60284', '60482', '62237', '62785']",9,,,
510131023021,31.543209876543212,29.20987654320988,6.4633752297145195,0.029665282887540976,0.04097261996974225,0.5671587162506749,38.9482074601596,-77.06113109595523,5.12337330679415,"['58898', '59014', '62236', '64123']",4,,,
510131023022,30.222222222222225,28.433641975308642,6.3675068123056615,0.04831056726658042,0.050023948608735776,0.5735537035520167,38.9482074601596,-77.06113109595523,5.12337330679415,"['59325', '59912', '62107', '62354', '62779', '63504', '63580', '64131']",8,,,
510131023023,29.51851851851852,29.51851851851852,7.126787954830616,0.0396303569652978,0.0238881117197971,0.5875421839331694,38.9482074601596,-77.06113109595523,5.12337330679415,['55697'],1,,,
